Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date
86.99,FR 1302,2023-04-11T19:20:00.000,2023-04-11T21:35:00.000,0,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

81.51,FR 1302,2023-04-12T16:35:00.000,2023-04-12T18:50:00.000,0,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

37.41,FR 1302,2023-04-13T06:25:00.000,2023-04-13T08:40:00.000,5,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

173.8,FR 6269,2023-04-07T16:35:00.000,2023-04-07T19:05:00.000,0,PMO,Palermo,CRL,Brussels (Charleroi),02:30,2023-03-16 08:34:49

75.99,FR 6269,2023-04-08T21:30:00.000,2023-04-08T23:59:00.000,2,PMO,Palermo,CRL,Brussels (Charleroi),02:29,2023-03-16 08:34:49

100.99,FR 6269,2023-04-10T12:05:00.000,2023-04-10T14:35:00.000,5,PMO,Palermo,CRL,Brussels (Charleroi),02:30,2023-03-16 08:34:49

74.21,FR 6269,2023-04-11T15:35:00.000,2023-04-11T18:05:00.000,0,PMO,Palermo,CRL,Brussels (Charleroi),02:30,2023-03-16 08:34:49

41.5,FR 6269,2023-04-12T09:25:00.000,2023-04-12T11:55:00.000,5,PMO,Palermo,CRL,Brussels (Charleroi),02:30,2023-03-16 08:34:49

79.99,FR 2941,2023-04-07T07:05:00.000,2023-04-07T09:00:00.000,0,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

87.49,FR 6312,2023-04-07T17:30:00.000,2023-04-07T19:25:00.000,0,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

206.49,FR 2941,2023-04-08T11:05:00.000,2023-04-08T13:00:00.000,0,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

111.74,FR 2941,2023-04-09T16:45:00.000,2023-04-09T18:40:00.000,3,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

78.09,FR 2941,2023-04-10T18:00:00.000,2023-04-10T19:55:00.000,1,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

67.49,FR 2941,2023-04-11T13:45:00.000,2023-04-11T15:40:00.000,2,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

24.99,FR 6312,2023-04-11T16:45:00.000,2023-04-11T18:40:00.000,5,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

77.39,FR 2941,2023-04-12T12:25:00.000,2023-04-12T14:20:00.000,5,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

44.62,FR 6312,2023-04-12T16:20:00.000,2023-04-12T18:15:00.000,0,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

51.24,FR 2941,2023-04-13T11:25:00.000,2023-04-13T13:20:00.000,0,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:49

133.54,FR 3534,2023-04-07T09:45:00.000,2023-04-07T12:10:00.000,3,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

133.54,FR 9053,2023-04-07T17:20:00.000,2023-04-07T19:45:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

135.64,FR 3534,2023-04-08T15:50:00.000,2023-04-08T18:15:00.000,1,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

338.22,FR 3534,2023-04-09T09:55:00.000,2023-04-09T12:20:00.000,3,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

121.99,FR 3534,2023-04-10T16:55:00.000,2023-04-10T19:20:00.000,2,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

74.52,FR 3534,2023-04-11T06:30:00.000,2023-04-11T08:55:00.000,5,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

89.74,FR 9053,2023-04-11T12:15:00.000,2023-04-11T14:40:00.000,3,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

79.99,FR 3534,2023-04-12T10:00:00.000,2023-04-12T12:25:00.000,4,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

85.62,FR 9053,2023-04-12T14:45:00.000,2023-04-12T17:10:00.000,2,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

49.56,FR 6063,2023-04-12T21:55:00.000,2023-04-13T00:20:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

79.99,FR 9053,2023-04-13T09:00:00.000,2023-04-13T11:25:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

74.52,FR 3534,2023-04-13T15:05:00.000,2023-04-13T17:30:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

63.09,FR 6456,2023-04-07T16:15:00.000,2023-04-07T18:40:00.000,0,IBZ,Ibiza,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

41.99,FR 6456,2023-04-09T07:30:00.000,2023-04-09T09:55:00.000,0,IBZ,Ibiza,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

47.65,FR 6456,2023-04-11T09:25:00.000,2023-04-11T11:50:00.000,1,IBZ,Ibiza,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

46.09,FR 6456,2023-04-13T10:20:00.000,2023-04-13T12:45:00.000,5,IBZ,Ibiza,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:50

203.49,FR 1928,2023-04-07T10:00:00.000,2023-04-07T12:45:00.000,3,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:51

161.99,FR 1916,2023-04-07T20:55:00.000,2023-04-07T23:40:00.000,4,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:51

180.19,FR 1916,2023-04-08T13:35:00.000,2023-04-08T16:20:00.000,0,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:51

104.99,FR 1916,2023-04-09T21:30:00.000,2023-04-10T00:15:00.000,4,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:51

105.99,FR 1916,2023-04-10T19:20:00.000,2023-04-10T22:05:00.000,0,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:51

105.99,FR 1916,2023-04-11T16:00:00.000,2023-04-11T18:45:00.000,1,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:51

89.74,FR 1916,2023-04-12T06:45:00.000,2023-04-12T09:30:00.000,3,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:51

83.99,FR 1916,2023-04-13T17:30:00.000,2023-04-13T20:15:00.000,3,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:51

51.99,FR 7831,2023-04-08T17:20:00.000,2023-04-08T19:30:00.000,0,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:51

64.29,FR 7831,2023-04-10T08:55:00.000,2023-04-10T11:05:00.000,0,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:51

51.69,FR 7831,2023-04-11T06:35:00.000,2023-04-11T08:45:00.000,1,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:51

44.62,FR 7831,2023-04-12T06:55:00.000,2023-04-12T09:05:00.000,0,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:51

68.99,FR 7831,2023-04-13T17:45:00.000,2023-04-13T19:55:00.000,0,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:51

84.66,FR 563,2023-04-07T06:30:00.000,2023-04-07T10:05:00.000,5,TFS,Tenerife (South),CRL,Brussels (Charleroi),04:35,2023-03-16 08:34:51

197.39,FR 563,2023-04-09T12:35:00.000,2023-04-09T16:10:00.000,1,TFS,Tenerife (South),CRL,Brussels (Charleroi),04:35,2023-03-16 08:34:51

57.89,FR 563,2023-04-11T07:15:00.000,2023-04-11T10:50:00.000,0,TFS,Tenerife (South),CRL,Brussels (Charleroi),04:35,2023-03-16 08:34:51

73.99,FR 563,2023-04-13T20:00:00.000,2023-04-13T23:35:00.000,0,TFS,Tenerife (South),CRL,Brussels (Charleroi),04:35,2023-03-16 08:34:51

63.77,FR 2923,2023-04-16T09:55:00.000,2023-04-16T12:50:00.000,0,AGP,Malaga,BRU,Brussels,02:55,2023-03-16 08:34:55

52.42,FR 2923,2023-04-17T17:40:00.000,2023-04-17T20:30:00.000,4,AGP,Malaga,BRU,Brussels,02:50,2023-03-16 08:34:55

83.57,FR 2923,2023-04-19T10:05:00.000,2023-04-19T13:00:00.000,0,AGP,Malaga,BRU,Brussels,02:55,2023-03-16 08:34:55

60.59,FR 2915,2023-04-14T11:00:00.000,2023-04-14T13:15:00.000,0,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:55

24.99,FR 2915,2023-04-17T20:25:00.000,2023-04-17T22:40:00.000,0,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:55

19.99,FR 2915,2023-04-19T17:25:00.000,2023-04-19T19:40:00.000,1,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:55

