Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date
79.99,TB 1111,2023-04-16T06:10,2023-04-16T08:55,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

79.99,TB 1113,2023-04-16T16:30,2023-04-16T19:15,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

89.99,TB 1111,2023-04-17T06:05,2023-04-17T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

149.99,TB 1135,2023-04-18T06:15,2023-04-18T09:00,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

85.99,TB 1417,2023-04-13T06:20,2023-04-13T10:30,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:21:46

109.99,TB 1417,2023-04-16T06:30,2023-04-16T10:40,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:21:46

97.99,TB 1011,2023-04-12T06:05,2023-04-12T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

97.99,TB 1027,2023-04-13T06:05,2023-04-13T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

97.99,TB 1013,2023-04-13T15:55,2023-04-13T19:00,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

95.99,TB 1011,2023-04-14T06:00,2023-04-14T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

109.99,TB 1011,2023-04-15T06:00,2023-04-15T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

99.99,TB 1013,2023-04-15T14:25,2023-04-15T17:30,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

104.99,TB 1011,2023-04-16T13:50,2023-04-16T16:55,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

97.99,TB 1013,2023-04-16T15:25,2023-04-16T18:30,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

134.99,TB 1011,2023-04-17T06:05,2023-04-17T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

104.99,TB 1011,2023-04-18T06:15,2023-04-18T09:20,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:21:54

79.99,TB 1417,2023-04-13T06:20,2023-04-13T08:55,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:22:02

119.99,TB 1419,2023-04-14T06:20,2023-04-14T08:55,12,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:22:02

109.99,TB 1417,2023-04-16T06:30,2023-04-16T09:05,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:22:02

134.99,TB 1411,2023-04-17T06:15,2023-04-17T08:50,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:22:02

87.99,TB 1413,2023-04-18T15:30,2023-04-18T18:05,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:22:02

129.99,TB 1751,2023-04-12T14:05,2023-04-12T18:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

129.99,TB 1753,2023-04-13T12:40,2023-04-13T16:40,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

419.99,TB 1751,2023-04-14T06:05,2023-04-14T10:05,1,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

139.99,TB 1753,2023-04-14T13:35,2023-04-14T17:35,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

169.99,TB 1751,2023-04-15T06:05,2023-04-15T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

129.99,TB 1753,2023-04-15T08:00,2023-04-15T12:00,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

129.99,TB 1755,2023-04-15T16:50,2023-04-15T20:50,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

129.99,TB 1753,2023-04-16T14:10,2023-04-16T18:10,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

269.99,TB 1751,2023-04-17T06:10,2023-04-17T10:10,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:22:11

