Price,Date of departure,Available seats,Arrival country code,Arrival country name,Departure country code,Departure country name249.99,2023-04-02,10,FAO,Faro,BRU,Brussel91.99,2023-03-29,10,ALC,Alicante,BRU,Brussel97.99,2023-03-30,10,ALC,Alicante,BRU,Brussel159.99,2023-03-31,10,ALC,Alicante,BRU,Brussel159.99,2023-03-31,10,ALC,Alicante,BRU,Brussel289.99,2023-04-01,10,ALC,Alicante,BRU,Brussel179.99,2023-04-01,10,ALC,Alicante,BRU,Brussel164.99,2023-04-02,10,ALC,Alicante,BRU,Brussel159.99,2023-04-02,10,ALC,Alicante,BRU,Brussel169.99,2023-04-03,10,ALC,Alicante,BRU,Brussel194.99,2023-04-04,10,ALC,Alicante,BRU,Brussel149.99,2023-04-02,10,IBZ,Ibiza,BRU,Brussel144.99,2023-03-29,10,AGP,Malaga,BRU,Brussel129.99,2023-03-30,10,AGP,Malaga,BRU,Brussel174.99,2023-03-31,10,AGP,Malaga,BRU,Brussel329.99,2023-04-01,10,AGP,Malaga,BRU,Brussel269.99,2023-04-01,9,AGP,Malaga,BRU,Brussel199.99,2023-04-02,10,AGP,Malaga,BRU,Brussel194.99,2023-04-02,10,AGP,Malaga,BRU,Brussel214.99,2023-04-03,10,AGP,Malaga,BRU,Brussel169.99,2023-04-03,10,AGP,Malaga,BRU,Brussel154.99,2023-04-04,10,AGP,Malaga,BRU,Brussel149.99,2023-04-04,10,AGP,Malaga,BRU,Brussel149.99,2023-03-31,10,PMI,Palma de Mallorca,BRU,Brussel199.99,2023-04-02,10,PMI,Palma de Mallorca,BRU,Brussel154.99,2023-04-04,10,PMI,Palma de Mallorca,BRU,Brussel189.99,2023-03-29,10,TFS,Tenerife,BRU,Brussel159.99,2023-03-30,10,TFS,Tenerife,BRU,Brussel279.99,2023-03-31,10,TFS,Tenerife,BRU,Brussel249.99,2023-03-31,10,TFS,Tenerife,BRU,Brussel689.99,2023-04-01,2,TFS,Tenerife,BRU,Brussel469.99,2023-04-01,10,TFS,Tenerife,BRU,Brussel229.99,2023-04-01,10,TFS,Tenerife,BRU,Brussel259.99,2023-04-02,10,TFS,Tenerife,BRU,Brussel489.99,2023-04-03,10,TFS,Tenerife,BRU,Brussel369.99,2023-04-04,10,TFS,Tenerife,BRU,Brussel219.99,2023-04-09,10,FAO,Faro,BRU,Brussel
194.99,2023-04-22,10,AGP,Malaga,BRU,Brussel
189.99,2023-04-23,10,AGP,Malaga,BRU,Brussel
164.99,2023-04-24,10,AGP,Malaga,BRU,Brussel
129.99,2023-04-25,10,AGP,Malaga,BRU,Brussel
234.99,2023-04-21,10,PMI,Palma de Mallorca,BRU,Brussel
219.99,2023-04-22,10,PMI,Palma de Mallorca,BRU,Brussel
219.99,2023-04-23,10,PMI,Palma de Mallorca,BRU,Brussel
154.99,2023-04-24,10,PMI,Palma de Mallorca,BRU,Brussel
149.99,2023-04-25,10,PMI,Palma de Mallorca,BRU,Brussel
169.99,2023-04-19,10,TFS,Tenerife,BRU,Brussel
194.99,2023-04-20,10,TFS,Tenerife,BRU,Brussel
339.99,2023-04-21,10,TFS,Tenerife,BRU,Brussel
309.99,2023-04-21,10,TFS,Tenerife,BRU,Brussel
339.99,2023-04-22,10,TFS,Tenerife,BRU,Brussel
339.99,2023-04-23,10,TFS,Tenerife,BRU,Brussel
309.99,2023-04-24,10,TFS,Tenerife,BRU,Brussel
234.99,2023-04-25,10,TFS,Tenerife,BRU,Brussel
229.99,2023-04-28,10,CFU,Corfu,BRU,Brussel
309.99,2023-04-30,10,CFU,Corfu,BRU,Brussel
229.99,2023-04-27,10,HER,Kreta-Heraklion,BRU,Brussel
309.99,2023-04-28,10,HER,Kreta-Heraklion,BRU,Brussel
499.99,2023-04-30,1,HER,Kreta-Heraklion,BRU,Brussel
329.99,2023-05-01,10,HER,Kreta-Heraklion,BRU,Brussel
309.99,2023-04-28,10,RHO,Rhodos,BRU,Brussel
309.99,2023-04-29,10,RHO,Rhodos,BRU,Brussel
309.99,2023-04-30,10,RHO,Rhodos,BRU,Brussel
349.99,2023-05-02,1,RHO,Rhodos,BRU,Brussel
219.99,2023-04-30,10,FAO,Faro,BRU,Brussel
149.99,2023-04-26,10,ALC,Alicante,BRU,Brussel
149.99,2023-04-26,10,ALC,Alicante,BRU,Brussel
139.99,2023-04-27,10,ALC,Alicante,BRU,Brussel
164.99,2023-04-28,10,ALC,Alicante,BRU,Brussel
299.99,2023-04-29,1,ALC,Alicante,BRU,Brussel
204.99,2023-04-29,10,ALC,Alicante,BRU,Brussel
184.99,2023-04-30,10,ALC,Alicante,BRU,Brussel
179.99,2023-05-01,10,ALC,Alicante,BRU,Brussel
